Country_Name,Country_Code,Indicator_Name,Indicator_Code,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Cabo Verde,CPV,"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS,0,0,0,0,0,0,0,0,0,0,0,56.2714,50.7836,48.3081,53.3383,57.47,56.6129,56.0885,60.0229,62.4709,65.0142,65.7893,68.262,69.7182,74.6639,67.3771,73.1357,74.1205,74.1464,68.3049,72.4428,70.149,72.3893,75.7587,79.1395,78.7565,78.7838,78.4927,77.2274,73.4676,66.9596,58.7509,51.2708,45.801,45.5645,46.7601,46.8304,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,0,0,0,0,0,0,0,0,0,0,0,152000,351000,1196000,1819000,1942000,1601000,4756000,5189000,4249000,3672000,6162000,7028000,5277000,8138000,8120000,6914000,9254000,8761000,7786000,9122000,6988000,12170000,10002000,11546000,16662000,13020000,13952000,15309000,17861000,20155000,22195000,22009000,23587000,25194000,23890000,25655000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,Net change in interest arrears (current US$),DT.IXA.DPPG.CD.CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739000,-182000,59000,-305000,952000,821000,779000,331000,-933000,-1387000,947000,392000,-303000,-482000,-1339000,-738000,-106000,-219000,566000,155000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,15484000,14024000,10720000,4823000,4090000,1388000,1058000,1057000,2091000,4924000,-287000,-1086000,-1006000,-282000,1457000,2566000,-1449000,17774000,12012000,2110000,13429000,-3256000,-4393000,-7437000,5137000,8873000,7630000,29270000,35098000,65697000,125703000,129701000,116192000,34328000,30700000,5555000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361000,18056000,23476000,5618000,1730000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,214000,1056000,1519000,1476000,875000,1349000,3464000,1994000,2731000,1210000,3444000,4890000,5906000,7442000,8173000,22497000,23833000,10168000,15734000,21661000,18290000,12687000,25801000,20549000,20946000,18230000,488000,21698000,-1980000,11762000,4254000,21261000,11749000,-3743000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185000,3441000,1823000,3679000,0,-188000,-778000,-1518000,-2257000,-2725000,-2452000,-1886000,-1130000,-348000,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,0,0,0,0,0,0,0,0,0,0,0,5191000,8317000,5792000,7612000,10528000,5953000,2073000,4677000,4820000,3542000,649000,11876000,6765000,22689000,10380000,11401000,13052000,23544000,35610000,17368000,19774000,21804000,26615000,19203000,36299000,21208000,24886000,25961000,45775000,70288000,15428000,28990000,41748000,73267000,55963000,18801000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,0,0,0,0,0,0,0,0,0,0,0,4409000,863000,1094000,4574000,3502000,2106000,-524000,1706000,-806000,-1147000,-1734000,1371000,4720000,2105000,-70000,99000,2540000,331000,4240000,-339000,-2107000,-2517000,4085000,3548000,4923000,769000,-4000,8724000,9980000,17343000,-1956000,5146000,1982000,8443000,19704000,20158000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,0,0,0,0,0,0,0,0,0,0,0,782000,425000,284000,1302000,4412000,2403000,2707000,2712000,3203000,3787000,1327000,10160000,-112000,17620000,5616000,5095000,3634000,1885000,8618000,7928000,6216000,2826000,4352000,2968000,5575000,-110000,3944000,-993000,6444000,15501000,-691000,-2260000,-2813000,670000,193000,-1451000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,0,0,0,0,0,0,0,0,0,0,0,0,7029000,4200000,680000,1111000,0,-953000,-1058000,-1009000,-1069000,-1675000,-865000,-1254000,-1926000,-1072000,-1235000,-1262000,-935000,-1065000,-372000,-69000,-166000,-112000,0,0,0,0,0,28863000,15746000,20055000,12981000,20269000,19417000,18699000,2107000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD,0,0,0,0,0,0,0,0,0,0,0,20675000,22341000,16512000,13872000,15590000,7932000,3011000,5614000,6791000,8346000,122000,10670000,5759000,22407000,16082000,19314000,11863000,39158000,47022000,17678000,41809000,18410000,21390000,9850000,45408000,23672000,28311000,50888000,77231000,182164000,164444000,201267000,222353000,203110000,115230000,40752000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,0,0,0,0,0,0,0,0,0,0,0,20675000,22341000,16512000,13872000,15590000,7932000,3011000,5614000,6791000,8346000,122000,10670000,5759000,22407000,16082000,19314000,11863000,39158000,47022000,17678000,41809000,18410000,21390000,9850000,45408000,23672000,28311000,50888000,77231000,182164000,164444000,201267000,222353000,203110000,115230000,40752000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,4290000,3070000,-5540000,-2820000,2400000,0,1600000,0,2000000,18660000,-23620000,1960000,-60000,12780000,-15720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD,0,0,0,0,0,0,0,0,0,0,0,20675000,22341000,16512000,13872000,16590000,12222000,6081000,74000,3971000,10746000,122000,12270000,5759000,24407000,34742000,-4306000,13823000,39098000,59802000,1958000,41809000,21595000,24831000,11673000,49087000,23672000,28123000,50110000,75713000,179907000,161719000,198815000,220467000,201980000,114882000,40752000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net transfers on external debt, long-term (NTR, current US$)",DT.NTR.DLXF.CD,0,0,0,0,0,0,0,0,0,0,0,20464000,21446000,14531000,10884000,12992000,5931000,-497000,2019000,4468000,6453000,-2543000,7712000,3786000,19366000,12706000,16665000,7663000,35402000,43637000,12868000,38117000,11724000,16554000,3886000,38619000,17406000,21887000,44318000,70309000,174304000,154234000,188100000,206741000,185210000,97393000,22554000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,0,0,0,0,0,0,0,0,0,0,0,20464000,21446000,14531000,10884000,12992000,5931000,-497000,2019000,4468000,6453000,-2543000,7712000,3786000,19366000,12706000,16665000,7663000,35402000,43637000,12868000,38117000,11724000,16554000,3886000,38619000,17406000,21887000,44318000,70309000,174304000,154234000,188100000,206741000,185210000,97393000,22554000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,0,0,0,0,0,0,0,0,0,0,0,20464000,21446000,14531000,10884000,13572000,10004000,2083000,-3961000,1518000,8733000,-2663000,9162000,3641000,21166000,30599000,-7205000,9520000,35191000,55884000,-2887000,38099000,14887000,19960000,5649000,42212000,17305000,21599000,43466000,68699000,172000000,151494000,185644000,204837000,184072000,97038000,22543000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Personal transfers and compensation of employees, received (current US$)",BX.TRF.PWKR.CD.DT,0,0,0,0,0,0,0,0,0,0,0,31596889.5,25852012.63,20547992.71,20617847.44,20757017.14,27560075.76,36425994.87,42742012.02,47700454.71,59140384.67,62366531.37,76012992.86,76491363.53,85453643.8,105860860.5,100349713.3,76416556.36,73741557.05,79102666.08,86905977.02,80947120.98,85079683.71,108537910.3,113356764.7,136648795,136612370.9,138874466,155111487.1,136748572.5,130953166.5,176769811.6,177953318.8,175965459.1,196787925.8,200826433.7,220717195,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (AMT, current US$)",DT.AMT.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (DIS, current US$)",DT.DIS.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (INT, current US$)",DT.INT.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (NTR, current US$)",DT.NTR.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (AMT, current US$)",DT.AMT.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (DOD, current US$)",DT.DOD.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (INT, current US$)",DT.INT.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (NTR, current US$)",DT.NTR.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PNG, commercial banks and other creditors (TDS, current US$)",DT.TDS.PNGC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"Portfolio investment, equity (DRS, current US$)",BX.PEF.TOTL.CD.DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2981396.797,0,0,0,0,0,0,287729.8157,2223933.665,0,1842837.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,78000,546000,521000,1604000,1455000,1598000,1589000,1236000,1059000,1149000,740000,2288000,1006000,843000,768000,310000,2148000,7342000,10275000,3212000,2102000,3266000,4611000,8289000,10959000,9870000,8993000,8966000,8468000,7427000,8394000,5217000,5395000,6054000,7112000,7238000,24765000,23624000,24340000,30310000,36877000,36859000,36722000,40887000,0
Cabo Verde,CPV,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,15562000,14570000,11241000,6427000,5545000,2986000,2647000,2293000,3150000,6073000,453000,1202000,0,561000,2225000,2876000,699000,25116000,22287000,5322000,15531000,10000,218000,852000,16096000,18743000,16623000,38236000,43566000,73124000,134097000,134918000,121587000,40382000,37812000,12793000,64689000,37708000,18110000,9370000,3538000,2986000,263000,263000,0
Cabo Verde,CPV,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,17213000,29033000,37059000,34143000,36937000,39288000,43596000,42436000,42228000,39625000,38934000,36900000,35570000,32633000,34228000,36756000,34481000,48434000,74790000,75933000,82586000,81534000,76071000,65011000,65642000,79268000,94331000,117936000,159425000,218167000,334259000,469392000,599587000,567110000,547348000,538659000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,76000,560000,1238000,1781000,1242000,1430000,1285000,1212000,999000,654000,598000,986000,237000,193000,103000,226000,822000,609000,891000,1064000,1471000,1757000,1412000,1670000,1559000,1595000,1750000,1618000,1859000,2304000,2917000,4344000,6322000,7406000,6903000,6794000,7178000,6935000,6613000,6226000,5850000,5398000,4918000,4429000,0
Cabo Verde,CPV,"PPG, bilateral (NTR, current US$)",DT.NTR.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,15408000,13464000,9482000,3042000,2848000,-42000,-227000,-155000,1092000,4270000,-885000,-2072000,-1243000,-475000,1354000,2340000,-2271000,17165000,11121000,1046000,11958000,-5013000,-5805000,-9107000,3578000,7278000,5880000,27652000,33239000,63393000,122786000,125357000,109870000,26922000,23797000,-1239000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,0,0,0,0,0,0,0,0,0,0,0,154000,1106000,1759000,3385000,2697000,3028000,2874000,2448000,2058000,1803000,1338000,3274000,1243000,1036000,871000,536000,2970000,7951000,11166000,4276000,3573000,5023000,6023000,9959000,12518000,11465000,10743000,10584000,10327000,9731000,11311000,9561000,11717000,13460000,14015000,14032000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,475000,177000,77000,152000,0,945000,564000,419000,311000,310000,1514000,1061000,645000,2250000,1324000,2559000,3757000,6331000,7762000,7912000,8581000,8966000,8468000,7157000,7585000,4678000,4855000,5785000,6842000,7238000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.CD,0,0,0,0,0,0,0,0,0,0,0,1315000,7183000,5151000,6427000,5545000,2986000,2647000,2293000,3150000,739000,453000,1202000,0,561000,2225000,2876000,699000,2556000,15787000,5322000,15531000,10000,218000,852000,16096000,18743000,16623000,38236000,43566000,70427000,134097000,134918000,121587000,40382000,37812000,12793000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CD,0,0,0,0,0,0,0,0,0,0,0,3927000,10389000,14375000,17053000,22673000,25756000,30527000,31395000,32421000,25518000,25750000,25258000,24506000,22032000,24094000,26622000,24981000,26135000,44367000,46472000,68875000,70720000,66111000,57009000,60837000,76420000,91895000,115500000,156989000,213304000,330205000,465877000,596612000,564404000,544912000,536223000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral concessional (INT, current US$)",DT.INT.BLTC.CD,0,0,0,0,0,0,0,0,0,0,0,0,6000,7000,92000,78000,231000,82000,325000,277000,30000,31000,166000,164000,144000,82000,226000,383000,458000,280000,715000,940000,1572000,1305000,1326000,1287000,1413000,1734000,1618000,1859000,2205000,2883000,4315000,6303000,7397000,6901000,6794000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.CD,0,0,0,0,0,0,0,0,0,0,0,1315000,7183000,5151000,6427000,5545000,2906000,2172000,2116000,3073000,587000,453000,257000,-564000,142000,1914000,2566000,-815000,1495000,15142000,3072000,14207000,-2549000,-3539000,-5479000,8334000,10831000,8042000,29270000,35098000,63270000,126512000,130240000,116732000,34597000,30970000,5555000,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,"PPG, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.CD,0,0,0,0,0,0,0,0,0,0,0,1315000,7177000,5144000,6335000,5467000,2675000,2090000,1791000,2796000,557000,422000,91000,-728000,-2000,1832000,2340000,-1198000,1037000,14862000,2357000,13267000,-4121000,-4844000,-6805000,7047000,9418000,6308000,27652000,33239000,61065000,123629000,125925000,110429000,27200000,24069000,-1239000,0,0,0,0,0,0,0,0,0
